abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
strive	to exert much effort or energy; "straining our ears to hear"
stroke	(sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand; "it took two strokes to get out of the bunker"; "a good shot requires good balance and tempo"; "he left me an almost impossible shot"
stroke	the maximum movement available to a pivoted or reciprocating piece by a cam
stroke	a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
stroke	a light touch
stroke	a light touch with the hands
stroke	(golf) the unit of scoring in golf is the act of hitting the ball with a club; "Nicklaus won by three strokes"
stroke	the oarsman nearest the stern of the shell who sets the pace for the rest of the crew
stroke	anything that happens suddenly or by chance without an apparent cause; "winning the lottery was a happy accident"; "the pregnancy was a stroke of bad luck"; "it was due to an accident or fortuity"
stroke	a punctuation mark (/) used to separate related items of information
stroke	a mark made on a surface by a pen, pencil, or paintbrush; "she applied the paint in careful strokes"
stroke	any one of the repeated movements of the limbs and body used for locomotion in swimming or rowing
stroke	a single complete movement
structural	relating to or caused by structure, especially political or economic structure; "structural unemployment in a technological society"
structural	relating to or having or characterized by structure; "structural engineer"; "structural errors"; "structural simplicity"
structural	affecting or involved in structure or construction; "the structural details of a house such as beams and joists and rafters; not ornamental elements"; "structural damage"
structural	concerned with systematic structure in a particular field of study
structural	pertaining to geological structure; "geomorphological features of the Black Hills"; "morphological features of granite"; "structural effects of folding and faulting of the earth's surface"
structural	relating to or concerned with the morphology of plants and animals; "morphological differences"
stumble	an unsteady uneven gait
stumble	an unintentional but embarrassing blunder; "he recited the whole poem without a single trip"; "he arranged his robes to avoid a trip-up later"; "confusion caused his unfortunate misstep"
stun	make senseless or dizzy by or as if by a blow; "stun fish"
stun	hit something or somebody as if with a sandbag
stun	overcome as with astonishment or disbelief; "The news stunned her"
stunning	commanding attention; "an arresting drawing of people turning into animals"; "a sensational concert--one never to be forgotten"; "a stunning performance"
stunning	causing great astonishment and consternation; "the strike came as a stunning protest against management"; "a stunning defeat"
stunning	causing or capable of causing bewilderment or shock or insensibility; "laid the poor fellow senseless with one stunning blow"; "a stunning detonation with volumes of black smoke"
stunning	strikingly beautiful or attractive; "quite stunning with large dark eyes and a beautiful high-bosomed figure"; "stunning photographs of Canada's wilderness areas"
submission	something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition); "several of his submissions were rejected by publishers"; "what was the date of submission of your proposal?"
submission	the act of submitting; usually surrendering power to another
submission	the condition of having submitted to control by someone or something else; "the union was brought into submission"; "his submission to the will of God"
submission	the feeling of patient, submissive humbleness
submission	a legal document summarizing an agreement between parties in a dispute to abide by the decision of an arbiter
submission	an agreement between parties in a dispute to abide by the decision of an arbiter
submission	(law) a contention presented by a lawyer to a judge or jury as part of the case he is arguing
subscriber	someone who expresses strong approval
subscriber	someone who contracts to receive and pay for a service or a certain number of issues of a publication
subscriber	someone who contributes (or promises to contribute) a sum of money
subscription	a payment for consecutive issues of a newspaper or magazine for a given period of time
subscription	agreement expressed by (or as if expressed by) signing your name
subscription	a pledged contribution
